Month,Value
1990/1,127.5
1990/2,128
1990/3,128.6
1990/4,128.9
1990/5,129.1
1990/6,129.9
1990/7,130.5
1990/8,131.6
1990/9,132.5
1990/10,133.4
1990/11,133.7
1990/12,134.2
1991/1,134.7
1991/2,134.8
1991/3,134.8
1991/4,135.1
1991/5,135.6
1991/6,136
1991/7,136.2
1991/8,136.6
1991/9,137
1991/10,137.2
1991/11,137.8
1991/12,138.2
1992/1,138.3
1992/2,138.6
1992/3,139.1
1992/4,139.4
1992/5,139.7
1992/6,140.1
1992/7,140.5
1992/8,140.8
1992/9,141.1
1992/10,141.7
1992/11,142.1
1992/12,142.3
1993/1,142.8
1993/2,143.1
1993/3,143.3
1993/4,143.8
1993/5,144.2
1993/6,144.3
1993/7,144.5
1993/8,144.8
1993/9,145
1993/10,145.6
1993/11,146
1993/12,146.3
1994/1,146.3
1994/2,146.7
1994/3,147.1
1994/4,147.2
1994/5,147.5
1994/6,147.9
1994/7,148.4
1994/8,149
1994/9,149.3
1994/10,149.4
1994/11,149.8
1994/12,150.1
1995/1,150.5
1995/2,150.9
1995/3,151.2
1995/4,151.8
1995/5,152.1
1995/6,152.4
1995/7,152.6
1995/8,152.9
1995/9,153.1
1995/10,153.5
1995/11,153.7
1995/12,153.9
1996/1,154.7
1996/2,155
1996/3,155.5
1996/4,156.1
1996/5,156.4
1996/6,156.7
1996/7,157
1996/8,157.2
1996/9,157.7
1996/10,158.2
1996/11,158.7
1996/12,159.1
1997/1,159.4
1997/2,159.7
1997/3,159.8
1997/4,159.9
1997/5,159.9
1997/6,160.2
1997/7,160.4
1997/8,160.8
1997/9,161.2
1997/10,161.5
1997/11,161.7
1997/12,161.8
1998/1,162
1998/2,162
1998/3,162
1998/4,162.2
1998/5,162.6
1998/6,162.8
1998/7,163.2
1998/8,163.4
1998/9,163.5
1998/10,163.9
1998/11,164.1
1998/12,164.4
1999/1,164.7
1999/2,164.7
1999/3,164.8
1999/4,165.9
1999/5,166
1999/6,166
1999/7,166.7
1999/8,167.1
1999/9,167.8
1999/10,168.1
1999/11,168.4
1999/12,168.8
2000/1,169.3
2000/2,170
2000/3,171
2000/4,170.9
2000/5,171.2
2000/6,172.2
2000/7,172.7
2000/8,172.7
2000/9,173.6
2000/10,173.9
2000/11,174.2
2000/12,174.6
2001/1,175.6
2001/2,176
2001/3,176.1
2001/4,176.4
2001/5,177.3
2001/6,177.7
2001/7,177.4
2001/8,177.4
2001/9,178.1
2001/10,177.6
2001/11,177.5
2001/12,177.4
2002/1,177.7
2002/2,178
2002/3,178.5
2002/4,179.3
2002/5,179.5
2002/6,179.6
2002/7,180
2002/8,180.5
2002/9,180.8
2002/10,181.2
2002/11,181.5
2002/12,181.8
2003/1,182.6
2003/2,183.6
2003/3,183.9
2003/4,183.2
2003/5,182.9
2003/6,183.1
2003/7,183.7
2003/8,184.5
2003/9,185.1
2003/10,184.9
2003/11,185
2003/12,185.5
2004/1,186.3
2004/2,186.7
2004/3,187.1
2004/4,187.4
2004/5,188.2
2004/6,188.9
2004/7,189.1
2004/8,189.2
2004/9,189.8
2004/10,190.8
2004/11,191.7
2004/12,191.7
2005/1,191.6
2005/2,192.4
2005/3,193.1
2005/4,193.7
2005/5,193.6
2005/6,193.7
2005/7,194.9
2005/8,196.1
2005/9,198.8
2005/10,199.1
2005/11,198.1
2005/12,198.1
2006/1,199.3
2006/2,199.4
2006/3,199.7
2006/4,200.7
2006/5,201.3
2006/6,201.8
2006/7,202.9
2006/8,203.8
2006/9,202.8
2006/10,201.9
2006/11,202
2006/12,203.1
2007/1,203.437
2007/2,204.226
2007/3,205.288
2007/4,205.904
2007/5,206.755
2007/6,207.234
2007/7,207.603
2007/8,207.667
2007/9,208.547
2007/10,209.19
2007/11,210.834
2007/12,211.445
2008/1,212.174
2008/2,212.687
2008/3,213.448
2008/4,213.942
2008/5,215.208
2008/6,217.463
2008/7,219.016
2008/8,218.69
2008/9,218.877
2008/10,216.995
2008/11,213.153
2008/12,211.398
2009/1,211.933
2009/2,212.705
2009/3,212.495
2009/4,212.709
2009/5,213.022
2009/6,214.79
2009/7,214.726
2009/8,215.445
2009/9,215.861
2009/10,216.509
2009/11,217.234
2009/12,217.347
2010/1,217.488
2010/2,217.281
2010/3,217.353
2010/4,217.403
2010/5,217.29
2010/6,217.199
2010/7,217.605
2010/8,217.923
2010/9,218.275
2010/10,219.035
2010/11,219.59
2010/12,220.472
2011/1,221.187
2011/2,221.898
2011/3,223.046
2011/4,224.093
2011/5,224.806
2011/6,224.806
2011/7,225.395
2011/8,226.106
2011/9,226.597
2011/10,226.75
2011/11,227.169
2011/12,227.223
2012/1,227.842
2012/2,228.329
2012/3,228.807
2012/4,229.187
2012/5,228.713
2012/6,228.524
2012/7,228.59
2012/8,229.918
2012/9,231.015
2012/10,231.638
2012/11,231.249
2012/12,231.221
2013/1,231.679
2013/2,232.937
2013/3,232.282
2013/4,231.797
2013/5,231.893
2013/6,232.445
2013/7,232.9
2013/8,233.456
2013/9,233.544
2013/10,233.669
2013/11,234.1
2013/12,234.719
2014/1,235.288
2014/2,235.547
2014/3,236.028
2014/4,236.468
2014/5,236.918
2014/6,237.231
2014/7,237.498
2014/8,237.46
2014/9,237.477
2014/10,237.43
2014/11,236.983
2014/12,236.252
2015/1,234.747
2015/2,235.342
2015/3,235.976
2015/4,236.222
2015/5,237.001
2015/6,237.657
2015/7,238.034
2015/8,238.033
2015/9,237.498
2015/10,237.733
2015/11,238.017
2015/12,237.761
2016/1,237.652
2016/2,237.336
2016/3,238.08
2016/4,238.992
2016/5,239.557
2016/6,240.222
2016/7,240.101
2016/8,240.545
2016/9,241.176
2016/10,241.741
2016/11,242.026
2016/12,242.637
2017/1,243.618
2017/2,244.006
2017/3,243.892
2017/4,244.193
2017/5,244.004
2017/6,244.163
2017/7,244.243
2017/8,245.183
2017/9,246.435
2017/10,246.626
2017/11,247.284
2017/12,247.805
2018/1,248.743
2018/2,249.439
2018/3,249.581
2018/4,250.146
2018/5,250.779
2018/6,251.118
2018/7,251.323
2018/8,251.749
2018/9,252.239
2018/10,252.862
2018/11,252.657
2018/12,252.551
2019/1,252.47
2019/2,253.135
2019/3,254.273
2019/4,255.163
2019/5,255.325
2019/6,255.361
2019/7,255.9
2019/8,256.179
2019/9,256.596
2019/10,257.305
2019/11,257.788
2019/12,258.263
2020/1,258.682
2020/2,259.007
2020/3,258.165
2020/4,256.094
2020/5,255.944
2020/6,257.217
2020/7,258.543
2020/8,259.58
2020/9,260.19
2020/10,260.352
2020/11,260.721
2020/12,261.564
2021/1,262.2
2021/2,263.346
2021/3,265.028
2021/4,266.727
2021/5,268.599
2021/6,270.955
2021/7,272.184
2021/8,273.092
2021/9,274.214
2021/10,276.59
2021/11,278.524
2021/12,280.126
2022/1,281.933
2022/2,284.182
2022/3,287.708
2022/4,288.663
2022/5,291.474
2022/6,295.328
2022/7,295.271
2022/8,295.62
2022/9,296.761
2022/10,298.062
