DATE,SP500_PC1
2013-12-01,27.10354
2014-01-01,23.09933
2014-02-01,20.14950
2014-03-01,20.16304
2014-04-01,18.68980
2014-05-01,15.24076
2014-06-01,20.28173
2014-07-01,18.24348
2014-08-01,17.45041
2014-09-01,18.13997
2014-10-01,12.63049
2014-11-01,14.63555
2014-12-01,13.63505
2015-01-01,11.29427
2015-02-01,14.59306
2015-03-01,11.61601
2015-04-01,12.36947
2015-05-01,11.75681
2015-06-01,7.81660
2015-07-01,6.13469
2015-08-01,3.99353
2015-09-01,-2.44949
2015-10-01,4.51864
2015-11-01,1.76293
2015-12-01,-0.00909
2016-01-01,-5.40291
2016-02-01,-8.53797
2016-03-01,-2.79022
2016-04-01,-0.92262
2016-05-01,-2.19668
2016-06-01,-0.73322
2016-07-01,2.61483
2016-08-01,6.74632
2016-09-01,10.96936
2016-10-01,5.83798
2016-11-01,4.05501
2016-12-01,9.37400
2017-01-01,18.58222
2017-02-01,22.34236
2017-03-01,17.05618
2017-04-01,13.67234
2017-05-01,15.96644
2017-06-01,16.80002
2017-07-01,14.20263
2017-08-01,12.80106
2017-09-01,15.53281
2017-10-01,19.31742
2017-11-01,19.79782
2017-12-01,18.59281
2018-01-01,22.62249
2018-02-01,16.10554
2018-03-01,14.19421
2018-04-01,12.47466
2018-05-01,12.78094
2018-06-01,13.16226
2018-07-01,13.83564
2018-08-01,16.35020
2018-09-01,16.39332
2018-10-01,8.93499
2018-11-01,4.99782
2018-12-01,-3.64192
2019-01-01,-6.53859
2019-02-01,1.83756
2019-03-01,3.74467
2019-04-01,9.42766
2019-05-01,5.67139
2019-06-01,4.93085
2019-07-01,7.24754
2019-08-01,1.38839
2019-09-01,2.77978
2019-10-01,6.90048
2019-11-01,14.01553
2019-12-01,23.73857
2020-01-01,25.72737
2020-02-01,18.96464
2020-03-01,-5.40624
2020-04-01,-4.88411
2020-05-01,2.27376
2020-06-01,7.42154
2020-07-01,7.05933
2020-08-01,17.05650
2020-09-01,12.85515
2020-10-01,14.81109
2020-11-01,14.30279
2020-12-01,16.32362
2021-01-01,15.72647
2021-02-01,18.49435
2021-03-01,47.43318
2021-04-01,49.93531
2021-05-01,42.75339
2021-06-01,36.52021
2021-07-01,36.04212
2021-08-01,31.32627
2021-09-01,32.09096
2021-10-01,30.47958
2021-11-01,31.51300
2021-12-01,26.50556
2022-01-01,20.56191
2022-02-01,14.22835
2022-03-01,12.29398
2022-04-01,6.03983
2022-05-01,-3.05888
2022-06-01,-8.01094
2022-07-01,-10.35777
2022-08-01,-6.63740
2022-09-01,-13.38470
2022-10-01,-16.46950
2022-11-01,.
